Hugo Symbol	# of occurence within resources	OncoKB Annotated	OncoKB Oncogene	OncoKB TSG	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC
RAD21	5	Yes		Yes	No	Yes	Yes	Yes	No	Yes
RAD51	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
RAD51C	3	Yes		Yes	No	No	Yes	Yes	No	No
RAD51B	4	Yes			No	No	Yes	Yes	No	Yes
RAD51D	3	Yes		Yes	No	No	Yes	Yes	No	No
RAD52	3	Yes			No	No	Yes	Yes	No	No
RAF1	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
RALGDS	2	No			No	Yes	No	No	No	Yes
RANBP2	2	No			Yes	No	No	No	No	Yes
RAP1GDS1	2	No			No	Yes	No	No	No	Yes
RARA	6	Yes			Yes	Yes	Yes	Yes	No	Yes
RASA1	2	Yes		Yes	No	No	Yes	No	No	No
RB1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
ARID4A	1	No			No	No	No	Yes	No	No
KDM5A	6	Yes			Yes	Yes	Yes	Yes	No	Yes
RECQL	2	Yes			No	No	Yes	No	No	No
REL	4	Yes			No	No	Yes	Yes	No	Yes
UPF1	2	Yes			No	No	Yes	No	No	No
RET	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
TRIM27	1	No			No	No	No	No	No	Yes
RHEB	2	Yes	Yes		No	No	Yes	No	No	No
RIT1	2	Yes	Yes		No	No	Yes	No	No	No
ROBO1	1	No			No	No	No	Yes	No	No
ROS1	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
RPL5	1	No			No	No	No	No	No	Yes
RPL10	1	No			No	No	No	No	No	Yes
RPL22	2	No			No	Yes	No	No	No	Yes
RPN1	2	No			No	Yes	No	No	No	Yes
RPS6KB2	2	Yes			No	No	Yes	No	No	No
RRAS	2	Yes			No	No	Yes	No	No	No
CLIP1	1	No			No	No	No	No	No	Yes
RXRA	2	Yes			No	No	Yes	No	No	No
ATXN2	1	No			No	No	No	Yes	No	No
SDC4	1	No			No	No	No	No	No	Yes
SDHA	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
SDHB	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
SDHC	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
SDHD	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
MAP2K4	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
SET	2	No			No	Yes	No	No	No	Yes
SFRP4	1	No			No	No	No	No	No	Yes
SRSF2	6	Yes			No	Yes	Yes	Yes	Yes	Yes
SRSF3	2	No			No	Yes	No	No	No	Yes
SGK1	2	No			No	Yes	No	Yes	No	No
SH3GL1	2	No			No	Yes	No	No	No	Yes
STIL	1	No			No	No	No	No	No	Yes
SLC1A2	1	No			No	Yes	No	No	No	No
SMARCA1	1	No			No	Yes	No	No	No	No
SMARCA4	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMARCB1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMARCD1	4	Yes			No	No	Yes	Yes	No	Yes
SMARCE1	1	No			No	No	No	No	No	Yes
SMO	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
SOS1	2	Yes			No	No	Yes	No	No	No
SOX2	6	Yes			Yes	Yes	Yes	Yes	No	Yes
SOX9	4	Yes			Yes	No	Yes	No	Yes	No
SOX10	2	No			Yes	Yes	No	No	No	No
SPTA1	1	No			Yes	No	No	No	No	No
SRC	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
SSX1	2	No			No	Yes	No	No	No	Yes
SSX2	2	No			No	Yes	No	No	No	Yes
SSX4	2	No			No	Yes	No	No	No	Yes
SS18	2	No			No	Yes	No	No	No	Yes
STAT3	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
STAT4	2	No			Yes	Yes	No	No	No	No
STAT5A	4	Yes			No	Yes	Yes	Yes	No	No
STAT5B	5	Yes			No	Yes	Yes	Yes	No	Yes
STAT6	3	No			No	Yes	No	Yes	No	Yes
AURKA	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
STK11	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
STRN	1	No			No	No	No	No	No	Yes
SYK	6	Yes			Yes	Yes	Yes	Yes	No	Yes
TAF1	2	No			Yes	Yes	No	No	No	No
MAP3K7	1	No			No	Yes	No	No	No	No
TAL1	2	No			No	Yes	No	No	No	Yes
TAL2	2	No			No	Yes	No	No	No	Yes
TAP1	2	Yes			No	No	Yes	No	No	No
TAP2	2	Yes			No	No	Yes	No	No	No
TCEA1	1	No			No	No	No	No	No	Yes
TCEB1	2	Yes			No	No	Yes	No	No	No
TBX3	5	Yes			Yes	No	Yes	Yes	No	Yes
HNF1A	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
TCF3	4	Yes			No	Yes	Yes	No	No	Yes
TCF7L2	3	Yes		Yes	No	No	Yes	No	No	Yes
TCF12	1	No			No	No	No	No	No	Yes
TRA	1	No			No	No	No	No	No	Yes
TRB	1	No			No	No	No	No	No	Yes
TRD	1	No			No	No	No	No	No	Yes
TRG	1	No			No	Yes	No	No	No	No
TEK	2	Yes			No	No	Yes	No	No	No
TERC	1	No			Yes	No	No	No	No	No
TERT	5	Yes	Yes		Yes	No	Yes	Yes	No	Yes
TFE3	2	No			No	Yes	No	No	No	Yes
TFRC	2	No			No	Yes	No	No	No	Yes
TGFBR1	2	Yes		Yes	No	No	Yes	No	No	No
TGFBR2	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
NKX2-1	6	Yes			Yes	Yes	Yes	Yes	No	Yes
TLL2	1	No			No	Yes	No	No	No	No
TMPRSS2	5	Yes	Yes		Yes	Yes	Yes	No	No	Yes
TMSB4XP8	1	No			No	Yes	No	No	No	No
TNFAIP3	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
TOP1	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
TOP2A	1	No			Yes	No	No	No	No	No
TP53	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
TP53BP1	2	Yes		Yes	No	No	Yes	No	No	No
TPM3	2	No			No	Yes	No	No	No	Yes
TPM4	2	No			No	Yes	No	No	No	Yes
TPR	1	No			No	No	No	No	No	Yes
TRAF2	4	Yes			No	Yes	Yes	Yes	No	No
TRAF3	2	No			No	Yes	No	Yes	No	No
TRAF5	2	No			No	Yes	No	Yes	No	No
TSC1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
TSC2	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
TSHR	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
TYK2	2	No			No	Yes	No	Yes	No	No
U2AF1	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
KDM6A	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
VAV1	1	No			No	No	No	Yes	No	No
VAV2	1	No			No	No	No	Yes	No	No
VEGFA	3	Yes			Yes	No	Yes	No	No	No
VHL	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
EZR	1	No			No	No	No	No	No	Yes
WAS	1	No			No	No	No	No	No	Yes
WHSC1	5	Yes			No	Yes	Yes	Yes	No	Yes
WRN	1	No			No	No	No	No	No	Yes
WT1	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
XBP1	2	No			No	Yes	No	Yes	No	No
XPA	1	No			No	No	No	No	No	Yes
XPC	1	No			No	No	No	No	No	Yes
XPO1	6	Yes			Yes	Yes	Yes	Yes	No	Yes
XRCC2	2	Yes		Yes	No	No	Yes	No	No	No
YES1	2	Yes			No	No	Yes	No	No	No
YWHAE	1	No			No	No	No	No	No	Yes
CNBP	1	No			No	No	No	No	No	Yes
ZNF24	1	No			No	Yes	No	No	No	No
ZBTB16	2	No			No	Yes	No	No	No	Yes
ZMYM2	2	No			No	Yes	No	No	No	Yes
ZNF217	2	No			Yes	Yes	No	No	No	No
PTP4A1	2	Yes			No	No	Yes	No	No	No
CSDE1	2	Yes			No	No	Yes	No	No	No
BTG2	1	No			No	Yes	No	No	No	No
PAX8	2	Yes	Yes		No	No	No	No	No	Yes
CXCR4	5	Yes			No	Yes	Yes	Yes	No	Yes
DEK	2	No			No	Yes	No	No	No	Yes
TFEB	1	No			No	No	No	No	No	Yes
RNF217-AS1	2	No			No	Yes	No	No	No	Yes
TUSC3	1	No			No	Yes	No	No	No	No
KAT6A	3	No			Yes	Yes	No	No	No	Yes
NR4A3	2	No			No	Yes	No	No	No	Yes
BRD3	1	No			No	No	No	No	No	Yes
NUP214	2	No			No	Yes	No	No	No	Yes
MLLT10	2	No			No	Yes	No	No	No	Yes
CCDC6	1	No			No	No	No	No	No	Yes
NCOA4	1	No			No	No	No	No	No	Yes
SHOC2	2	Yes			No	No	Yes	No	No	No
FGF23	2	No			Yes	Yes	No	No	No	No
KMT2D	6	Yes		Yes	Yes	No	Yes	Yes	Yes	Yes
HMGA2	2	No			No	Yes	No	No	No	Yes
TCL1A	2	No			No	Yes	No	No	No	Yes
TAF15	2	No			No	Yes	No	No	No	Yes
ELL	2	No			No	Yes	No	No	No	Yes
NCOA3	2	Yes			No	No	Yes	No	No	No
LZTR1	2	No			Yes	No	No	No	No	Yes
CLTCL1	2	No			No	Yes	No	No	No	Yes
ZRSR2	5	Yes			No	Yes	Yes	Yes	No	Yes
RBM10	4	Yes		Yes	Yes	No	Yes	No	No	Yes
KDM5C	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMC1A	2	No			No	Yes	No	Yes	No	No
ARID1A	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
HIST3H3	2	Yes			No	No	Yes	No	No	No
HIST1H4I	2	No			No	Yes	No	No	No	Yes
TRRAP	1	No			No	No	No	No	No	Yes
PICALM	2	No			No	Yes	No	No	No	Yes
AXIN1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
AXIN2	3	Yes		Yes	No	No	Yes	No	No	Yes
BAP1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
HIST1H2AL	2	No			No	Yes	No	Yes	No	No
HIST1H2AC	2	No			No	Yes	No	Yes	No	No
HIST1H2AM	2	No			No	Yes	No	Yes	No	No
HIST1H2BG	1	No			No	No	No	Yes	No	No
HIST1H2BC	2	No			No	Yes	No	Yes	No	No
HIST1H2BO	2	No			No	Yes	No	Yes	No	No
HIST1H3A	2	Yes			No	No	Yes	No	No	No
HIST1H3D	2	Yes			No	No	Yes	No	No	No
HIST1H3C	2	Yes			No	No	Yes	No	No	No
HIST1H3E	2	Yes			No	No	Yes	No	No	No
HIST1H3I	2	Yes			No	No	Yes	No	No	No
HIST1H3G	3	Yes			No	No	Yes	Yes	No	No
HIST1H3J	2	Yes			No	No	Yes	No	No	No
HIST1H3H	2	Yes			No	No	Yes	No	No	No
HIST1H3B	6	Yes			No	Yes	Yes	Yes	Yes	Yes
SPOP	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
RAD54L	3	Yes			No	No	Yes	Yes	No	No
CUL3	3	Yes			Yes	No	Yes	No	No	No
PPM1D	3	Yes	Yes		No	No	Yes	No	No	Yes
PPFIBP1	1	No			No	No	No	No	No	Yes
PIK3R3	2	Yes		Yes	No	No	Yes	No	No	No
GAS7	2	No			No	Yes	No	No	No	Yes
ASMTL	1	No			No	Yes	No	No	No	No
TP63	5	Yes			No	Yes	Yes	Yes	No	Yes
NCOA1	1	No			No	No	No	No	No	Yes
SOCS1	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
IRS2	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
EED	4	Yes			No	Yes	Yes	Yes	No	No
TNFRSF14	6	Yes			Yes	Yes	Yes	Yes	No	Yes
TNFRSF11A	1	No			No	Yes	No	No	No	No
TRIM24	2	No			No	Yes	No	No	No	Yes
INPP4B	5	Yes		Yes	Yes	Yes	Yes	Yes	No	No
GMPS	2	No			No	Yes	No	No	No	Yes
SOCS2	1	No			No	Yes	No	No	No	No
WISP3	2	No			Yes	Yes	No	No	No	No
STK19	2	Yes			No	No	Yes	No	No	No
FUBP1	5	Yes		Yes	Yes	No	Yes	No	Yes	Yes
BCL10	5	Yes		Yes	No	Yes	Yes	Yes	No	Yes
PHOX2B	3	Yes			No	No	Yes	No	No	Yes
HIST1H3F	2	Yes			No	No	Yes	No	No	No
HIST1H2AG	2	No			No	Yes	No	Yes	No	No
HIST1H2BJ	2	No			No	Yes	No	Yes	No	No
MGAM	1	No			No	No	No	Yes	No	No
RPS6KA4	2	Yes			No	No	Yes	No	No	No
MAP3K14	4	Yes			No	Yes	Yes	Yes	No	No
SOCS3	1	No			No	Yes	No	No	No	No
MAP3K6	1	No			No	Yes	No	No	No	No
USP6	2	No			No	Yes	No	No	No	Yes
USP8	1	No			No	No	No	No	No	Yes
LATS1	2	Yes			No	No	Yes	No	No	No
SMC3	2	No			No	Yes	No	Yes	No	No
RABEP1	2	No			No	Yes	No	No	No	Yes
PCSK7	2	No			No	Yes	No	No	No	Yes
MAP3K13	4	Yes			No	No	Yes	Yes	No	Yes
ZMYM3	1	No			No	Yes	No	No	No	No
AURKB	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
S1PR2	1	No			No	Yes	No	No	No	No
KLF4	4	Yes			No	No	Yes	No	Yes	Yes
TRIP11	2	No			No	Yes	No	No	No	Yes
SLIT2	1	No			Yes	No	No	No	No	No
RECQL4	3	Yes			No	No	Yes	No	No	Yes
QKI	2	No			Yes	No	No	No	No	Yes
ATG5	1	No			No	Yes	No	No	No	No
MAGED1	1	No			No	Yes	No	No	No	No
APOBEC3B	1	No			No	No	No	No	No	Yes
NCOR1	5	Yes		Yes	No	No	Yes	Yes	Yes	Yes
NCOR2	3	No			No	Yes	No	Yes	No	Yes
SNCAIP	1	No			Yes	No	No	No	No	No
IKBKE	5	Yes			Yes	Yes	Yes	Yes	No	No
MDC1	2	Yes			No	No	Yes	No	No	No
PDE4DIP	2	No			No	Yes	No	No	No	Yes
NUP93	4	Yes			Yes	Yes	Yes	No	No	No
HERPUD1	2	No			No	Yes	No	No	No	Yes
FAM131B	1	No			No	No	No	No	No	Yes
SETD1A	1	No			No	No	No	Yes	No	No
KMT2B	4	Yes		Yes	No	Yes	Yes	Yes	No	No
HDAC4	2	No			No	Yes	No	Yes	No	No
KEAP1	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
MAGI2	1	No			Yes	No	No	No	No	No
SETDB1	1	No			No	No	No	Yes	No	No
SRGAP3	1	No			No	No	No	No	No	Yes
MAFB	2	No			No	Yes	No	No	No	Yes
GOLGA5	1	No			No	No	No	No	No	Yes
FGF19	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
THRAP3	1	No			No	No	No	No	No	Yes
MED12	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
AKT3	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
ABI1	2	No			No	Yes	No	No	No	Yes
BCL2L11	2	Yes		Yes	No	No	Yes	No	No	No
SH2B3	4	Yes			No	No	Yes	Yes	No	Yes
RAD50	5	Yes		Yes	Yes	Yes	Yes	Yes	No	No
ARFRP1	2	No			Yes	Yes	No	No	No	No
AKAP9	1	No			No	No	No	No	No	Yes
LHFP	1	No			No	No	No	No	No	Yes
OLIG2	1	No			No	No	No	No	No	Yes
GPHN	2	No			No	Yes	No	No	No	Yes
FSTL3	2	No			No	Yes	No	No	No	Yes
STAG1	1	No			No	No	No	Yes	No	No
IKZF1	6	Yes			Yes	Yes	Yes	Yes	No	Yes
TFG	2	No			No	Yes	No	No	No	Yes
NOD1	1	No			No	Yes	No	No	No	No
NDRG1	2	No			No	Yes	No	No	No	Yes
YAP1	2	Yes	Yes		No	No	Yes	No	No	No
HOXB13	2	Yes			No	No	Yes	No	No	No
CARM1	2	Yes			No	No	Yes	No	No	No
NCOA2	2	No			No	Yes	No	No	No	Yes
SLC34A2	1	No			No	No	No	No	No	Yes
ARID3B	1	No			No	No	No	Yes	No	No
CTCF	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
GNA13	3	No			Yes	Yes	No	Yes	No	No
CCT6B	1	No			No	Yes	No	No	No	No
STAG2	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
PLK2	2	Yes			No	No	Yes	No	No	No
SEPT9	2	No			No	Yes	No	No	No	Yes
FRS2	2	No			Yes	Yes	No	No	No	No
ARID5A	1	No			No	No	No	Yes	No	No
MALT1	5	Yes			No	Yes	Yes	Yes	No	Yes
PNRC1	3	Yes			No	No	Yes	Yes	No	No
MLLT11	1	No			No	No	No	No	No	Yes
CLP1	2	No			No	Yes	No	No	No	Yes
RAB35	2	Yes			No	No	Yes	No	No	No
CNTRL	2	No			No	Yes	No	No	No	Yes
FGFR1OP	2	No			No	Yes	No	No	No	Yes
PTPRT	3	Yes			No	No	Yes	No	No	Yes
FAF1	1	No			No	Yes	No	No	No	No
PSIP1	2	No			No	Yes	No	No	No	Yes
WIF1	1	No			No	No	No	No	No	Yes
CHEK2	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
SP140	1	No			No	No	No	Yes	No	No
U2AF2	2	No			No	Yes	No	Yes	No	No
RRAS2	2	Yes	Yes		No	No	Yes	No	No	No
IKZF3	2	No			No	Yes	No	Yes	No	No
IKZF2	1	No			No	Yes	No	No	No	No
ICK	1	No			No	Yes	No	No	No	No
SEC31A	1	No			No	Yes	No	No	No	No
DIS3	3	Yes			No	No	Yes	Yes	No	No
DUX4L1	1	No			No	No	No	No	No	Yes
NT5C2	3	No			No	Yes	No	Yes	No	Yes
PDCD11	1	No			No	Yes	No	No	No	No
SPEN	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
PDS5B	1	No			No	No	No	Yes	No	No
FNBP1	2	No			No	Yes	No	No	No	Yes
SMG1	1	No			No	No	No	Yes	No	No
SETD1B	1	No			No	No	No	Yes	No	No
KDM4C	1	No			No	Yes	No	No	No	No
ERC1	1	No			No	No	No	No	No	Yes
ARHGAP26	2	No			No	Yes	No	No	No	Yes
CIC	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
SEPT6	2	No			No	Yes	No	No	No	Yes
PASK	1	No			No	Yes	No	No	No	No
CAMTA1	2	No			No	Yes	No	No	No	Yes
MGA	3	Yes		Yes	No	No	Yes	Yes	No	No
ACSL6	2	No			No	Yes	No	No	No	Yes
ICOSLG	2	Yes			No	No	Yes	No	No	No
ARHGEF12	2	No			No	Yes	No	No	No	Yes
CRTC1	1	No			No	No	No	No	No	Yes
NCSTN	2	No			No	Yes	No	Yes	No	No
DICER1	4	Yes			Yes	No	Yes	No	No	Yes
RYBP	2	Yes		Yes	No	No	Yes	No	No	No
SF3B1	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
HEY1	2	No			No	Yes	No	No	No	Yes
BRD4	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
SUZ12	5	Yes			No	Yes	Yes	Yes	No	Yes
KAT6B	1	No			No	No	No	No	No	Yes
PATZ1	1	No			No	No	No	No	No	Yes
CBLC	1	No			No	No	No	No	No	Yes
POT1	3	No			No	Yes	No	Yes	No	Yes
ZNF521	2	No			No	Yes	No	No	No	Yes
WWTR1	3	Yes			No	No	Yes	No	No	Yes
SAMHD1	1	No			No	No	No	Yes	No	No
ADGRA2	2	No			Yes	Yes	No	No	No	No
SS18L1	1	No			No	No	No	No	No	Yes
SETBP1	4	No			No	Yes	No	Yes	Yes	Yes
LSM14A	1	No			No	No	No	No	No	Yes
CHIC2	2	No			No	Yes	No	No	No	Yes
LATS2	2	Yes			No	No	Yes	No	No	No
GREM1	2	Yes			No	No	Yes	No	No	No
TCL6	1	No			No	No	No	No	No	Yes
SND1	1	No			No	No	No	No	No	Yes
FOXP1	6	Yes			Yes	Yes	Yes	Yes	No	Yes
BBC3	2	Yes			No	No	Yes	No	No	No
AFF4	2	No			No	Yes	No	No	No	Yes
AGO2	2	Yes			No	No	Yes	No	No	No
SESN1	2	Yes			No	No	Yes	No	No	No
EML4	2	No			No	Yes	No	No	No	Yes
PCLO	1	No			No	Yes	No	No	No	No
SETD2	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
BABAM1	2	Yes			No	No	Yes	No	No	No
DROSHA	3	Yes			No	No	Yes	No	No	Yes
ANKRD11	2	Yes			No	No	Yes	No	No	No
CD274	6	Yes			Yes	Yes	Yes	Yes	No	Yes
TFPT	2	No			No	Yes	No	No	No	Yes
TLX3	2	No			No	Yes	No	No	No	Yes
IL21R	2	No			No	Yes	No	No	No	Yes
IGK	2	No			No	Yes	No	No	No	Yes
APH1A	1	No			No	Yes	No	No	No	No
SBDS	1	No			No	No	No	No	No	Yes
EGFL7	2	Yes			No	No	Yes	No	No	No
LEF1	2	No			No	Yes	No	No	No	Yes
CRBN	1	No			No	No	No	Yes	No	No
NIN	2	No			No	Yes	No	No	No	Yes
UBR5	2	No			No	No	No	Yes	No	Yes
GTSE1	1	No			No	Yes	No	No	No	No
NCKIPSD	1	No			No	No	No	No	No	Yes
HDAC7	2	No			No	Yes	No	Yes	No	No
TRIM33	1	No			No	No	No	No	No	Yes
YPEL5	1	No			No	Yes	No	No	No	No
SUFU	6	Yes			Yes	Yes	Yes	Yes	No	Yes
ARID4B	1	No			No	No	No	Yes	No	No
RTEL1	3	Yes			No	No	Yes	Yes	No	No
CDK12	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
BCL11A	2	No			No	Yes	No	No	No	Yes
LRP1B	3	No			Yes	Yes	No	No	No	Yes
SETD4	1	No			No	No	No	Yes	No	No
DCUN1D1	2	Yes			No	No	Yes	No	No	No
ERRFI1	3	Yes		Yes	Yes	No	Yes	No	No	No
FEV	2	No			No	Yes	No	No	No	Yes
TET2	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
FAM46C	6	Yes			Yes	Yes	Yes	Yes	No	Yes
BCOR	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
RNF43	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
WHSC1L1	4	Yes			No	Yes	Yes	No	No	Yes
SDHAF2	3	Yes			No	No	Yes	No	No	Yes
FANCL	2	No			Yes	Yes	No	No	No	No
SHQ1	2	Yes		Yes	No	No	Yes	No	No	No
PBRM1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
SETD5	1	No			No	No	No	Yes	No	No
YY1AP1	1	No			No	Yes	No	No	No	No
ELP2	1	No			No	Yes	No	No	No	No
ASXL2	3	Yes		Yes	No	No	Yes	Yes	No	No
FBXW7	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
ZNF331	1	No			No	No	No	No	No	Yes
ETNK1	2	No			No	No	No	Yes	No	Yes
ZCCHC8	1	No			No	No	No	No	No	Yes
TMEM127	3	Yes			No	No	Yes	No	No	Yes
TMEM30A	1	No			No	Yes	No	No	No	No
PAG1	1	No			No	Yes	No	No	No	No
PAK6	1	Yes			No	No	No	No	No	No
DUSP22	2	No			No	Yes	No	Yes	No	No
EMSY	1	No			Yes	No	No	No	No	No
ACKR3	1	No			No	No	No	No	No	Yes
CASC5	1	No			No	No	No	No	No	Yes
CYSLTR2	2	Yes			No	No	Yes	No	No	No
GOPC	1	No			No	No	No	No	No	Yes
PAK7	2	No			No	No	Yes	Yes	No	No
SALL4	1	No			No	No	No	No	No	Yes
ARID1B	6	Yes		Yes	Yes	No	Yes	Yes	Yes	Yes
RPTOR	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
MIB1	1	No			No	Yes	No	No	No	No
MKL1	2	No			No	Yes	No	No	No	Yes
ZBTB2	1	No			Yes	No	No	No	No	No
EP400	1	No			No	No	No	Yes	No	No
KIAA1549	1	No			No	No	No	No	No	Yes
RNF213	2	No			No	Yes	No	No	No	Yes
SHTN1	1	No			No	No	No	No	No	Yes
CCNB1IP1	1	No			No	No	No	No	No	Yes
KMT2C	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
BACH2	1	No			No	No	No	Yes	No	No
BCORL1	4	No			Yes	Yes	No	Yes	No	Yes
PRDM16	2	No			No	Yes	No	No	No	Yes
PRDM14	2	Yes			No	No	Yes	No	No	No
CRLF2	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
RRAGC	3	Yes			No	No	Yes	Yes	No	No
ARHGEF28	1	No			No	No	No	Yes	No	No
SOX17	2	Yes		Yes	No	No	Yes	No	No	No
NSD1	6	Yes			Yes	Yes	Yes	Yes	No	Yes
RFWD2	2	Yes			No	No	Yes	No	No	No
SMYD3	2	Yes			No	No	Yes	No	No	No
CREB3L2	2	No			No	Yes	No	No	No	Yes
RBM15	2	No			No	Yes	No	No	No	Yes
CRTC3	1	No			No	No	No	No	No	Yes
RANBP17	1	No			No	No	No	No	No	Yes
BCL11B	3	No			No	Yes	No	Yes	No	Yes
GID4	2	No			Yes	Yes	No	No	No	No
ASPSCR1	1	No			No	No	No	No	No	Yes
MAPKAP1	2	Yes			No	No	Yes	No	No	No
CHCHD7	1	No			No	No	No	No	No	Yes
CDC73	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
FAT4	1	No			No	No	No	No	No	Yes
VTCN1	2	Yes			No	No	Yes	No	No	No
TBL1XR1	3	No			No	Yes	No	Yes	No	Yes
PALB2	6	Yes			Yes	Yes	Yes	Yes	No	Yes
FBXO31	1	No			No	Yes	No	No	No	No
MOB3B	1	No			No	No	No	Yes	No	No
SETD6	1	No			No	No	No	Yes	No	No
ZNF703	2	No			Yes	Yes	No	No	No	No
FBXO11	3	No			No	Yes	No	Yes	No	Yes
PREX2	4	Yes			Yes	No	Yes	No	No	Yes
C2ORF44	1	No			No	No	No	No	No	Yes
TET1	5	Yes			No	Yes	Yes	Yes	No	Yes
PDCD1LG2	5	Yes			Yes	Yes	Yes	No	No	Yes
CD276	2	Yes			No	No	Yes	No	No	No
SETD7	1	No			No	No	No	Yes	No	No
FIP1L1	1	No			No	No	No	No	No	Yes
FCRL4	2	No			No	Yes	No	No	No	Yes
NUF2	2	Yes			No	No	Yes	No	No	No
SESN2	2	Yes			No	No	Yes	No	No	No
SETDB2	1	No			No	No	No	Yes	No	No
STK40	2	Yes			No	No	Yes	No	No	No
BRIP1	6	Yes			Yes	Yes	Yes	Yes	No	Yes
FAM175A	2	Yes			No	No	Yes	No	No	No
ARID5B	3	Yes		Yes	No	No	Yes	Yes	No	No
SETD3	1	No			No	No	No	Yes	No	No
TRAF7	4	Yes			No	No	Yes	No	Yes	Yes
FLYWCH1	1	No			No	Yes	No	No	No	No
PHF6	4	No			No	Yes	No	Yes	Yes	Yes
HOOK3	1	No			No	No	No	No	No	Yes
CARD11	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
MAML2	1	No			No	No	No	No	No	Yes
DOT1L	5	Yes			Yes	Yes	Yes	Yes	No	No
BRSK1	1	No			No	Yes	No	No	No	No
SLX4	2	Yes			No	No	Yes	No	No	No
KDM2B	1	No			No	Yes	No	No	No	No
RSPO3	1	No			No	No	No	No	No	Yes
CEP89	1	No			No	No	No	No	No	Yes
HIST1H2BK	2	No			No	Yes	No	Yes	No	No
SLC45A3	1	No			No	No	No	No	No	Yes
KLHL6	2	No			Yes	Yes	No	No	No	No
KNSTRN	2	Yes			No	No	Yes	No	No	No
CREB3L1	2	No			No	Yes	No	No	No	Yes
FAM58A	2	Yes			No	No	Yes	No	No	No
SNX29	2	No			No	Yes	No	No	No	Yes
SPECC1	1	No			No	No	No	No	No	Yes
C12orf9	1	No			No	No	No	No	No	Yes
